Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
714	15.	7.5	65.	4.7346e-004
715	17.5	5.	65.	3.1427e-004
716	15.	2.5	65.	8.1568e-004
717	7.5	5.	65.	1.1121e-003
718	10.	5.	62.5	9.2197e-004
719	10.	7.5	65.	1.0843e-003
720	10.	2.5	65.	1.8551e-003
721	5.	5.	62.5	4.141e-004
722	5.	7.5	65.	4.7351e-004
723	2.5	5.	65.	3.1434e-004
724	5.	2.5	65.	8.157e-004
725	12.5	5.	60.	2.2396e-004
726	15.	5.	57.5	7.3594e-005
727	15.	7.5	60.	9.7546e-005
728	17.5	5.	60.	5.2528e-005
729	15.	2.5	60.	1.6608e-004
730	7.5	5.	60.	2.2396e-004
731	10.	5.	57.5	1.6703e-004
732	10.	7.5	60.	2.0525e-004
733	10.	2.5	60.	3.4754e-004
734	5.	5.	57.5	7.3609e-005
735	5.	7.5	60.	9.7563e-005
736	2.5	5.	60.	5.2403e-005
737	5.	2.5	60.	1.6623e-004
738	12.5	5.	55.	1.6663e-005
739	15.	5.	52.5	-2.7183e-006
740	15.	7.5	55.	2.6709e-006
741	17.5	5.	55.	-7.1254e-007
742	15.	2.5	55.	7.3408e-006
743	7.5	5.	55.	1.6677e-005
744	10.	5.	52.5	3.604e-006
745	10.	7.5	55.	2.0252e-005
746	10.	2.5	55.	4.4081e-005
747	5.	5.	52.5	-2.7222e-006
748	5.	7.5	55.	2.6927e-006
749	2.5	5.	55.	-6.5814e-007
750	5.	2.5	55.	7.3547e-006
751	12.5	5.	50.	-1.5778e-005
752	15.	5.	47.5	-1.0705e-005
753	15.	7.5	50.	-7.6724e-006
754	17.5	5.	50.	-4.0183e-006
755	15.	2.5	50.	-1.3858e-005
756	7.5	5.	50.	-1.5795e-005
757	10.	5.	47.5	-2.0553e-005
758	10.	7.5	50.	-1.4594e-005
759	10.	2.5	50.	-2.4352e-005
760	5.	5.	47.5	-1.0738e-005
761	5.	7.5	50.	-7.7106e-006
762	2.5	5.	50.	-3.9872e-006
763	5.	2.5	50.	-1.3896e-005
764	12.5	5.	45.	-1.548e-005
765	15.	5.	42.5	-1.0999e-005
766	15.	7.5	45.	-7.4046e-006
767	17.5	5.	45.	-4.8733e-006
768	15.	2.5	45.	-1.2717e-005
769	7.5	5.	45.	-1.5497e-005
770	10.	5.	42.5	-2.0023e-005
771	10.	7.5	45.	-1.4131e-005
772	10.	2.5	45.	-2.2603e-005
773	5.	5.	42.5	-1.0981e-005
774	5.	7.5	45.	-7.4306e-006
775	2.5	5.	45.	-4.8632e-006
776	5.	2.5	45.	-1.2765e-005
777	12.5	5.	40.	-1.5542e-005
778	15.	5.	37.5	-4.2727e-006
779	15.	7.5	40.	-8.6305e-006
780	17.5	5.	40.	-4.4475e-006
781	15.	2.5	40.	-1.1433e-005
782	7.5	5.	40.	-1.5507e-005
783	10.	5.	37.5	-5.9664e-006
784	10.	7.5	40.	-1.4974e-005
785	10.	2.5	40.	-1.7938e-005
786	5.	5.	37.5	-4.2479e-006
787	5.	7.5	40.	-8.575e-006
788	2.5	5.	40.	-4.4135e-006
789	5.	2.5	40.	-1.1413e-005
790	12.5	5.	35.	5.3028e-006
791	15.	5.	32.5	3.3762e-005
792	15.	7.5	35.	-2.5513e-006
793	17.5	5.	35.	-9.0419e-007
794	15.	2.5	35.	1.333e-005
795	7.5	5.	35.	5.2927e-006
796	10.	5.	32.5	9.488e-005
797	10.	7.5	35.	9.1092e-007
798	10.	2.5	35.	4.5622e-005
799	5.	5.	32.5	3.3759e-005
800	5.	7.5	35.	-2.5657e-006
801	2.5	5.	35.	-9.9786e-007
802	5.	2.5	35.	1.3424e-005
803	12.5	5.	30.	1.2334e-004
804	15.	5.	27.5	2.0596e-004
805	15.	7.5	30.	2.9679e-005
806	17.5	5.	30.	2.6314e-005
807	15.	2.5	30.	1.6534e-004
808	7.5	5.	30.	1.2335e-004
809	10.	5.	27.5	4.6501e-004
810	10.	7.5	30.	9.2997e-005
811	10.	2.5	30.	3.5562e-004
812	5.	5.	27.5	2.0597e-004
813	5.	7.5	30.	2.9673e-005
814	2.5	5.	30.	2.635e-005
815	5.	2.5	30.	1.6533e-004
816	12.5	5.	25.	5.4764e-004
817	15.	5.	22.5	6.1505e-004
818	15.	7.5	25.	1.828e-004
819	17.5	5.	25.	1.1649e-004
820	15.	2.5	25.	7.3893e-004
821	7.5	5.	25.	5.4764e-004
822	10.	5.	22.5	1.4521e-003
823	10.	7.5	25.	4.3891e-004
824	10.	2.5	25.	1.5024e-003
825	5.	5.	22.5	6.1505e-004
826	5.	7.5	25.	1.8276e-004
827	2.5	5.	25.	1.1648e-004
828	5.	2.5	25.	7.3893e-004
829	12.5	5.	20.	1.5195e-003
830	15.	5.	17.5	8.614e-004
831	15.	7.5	20.	4.7409e-004
832	17.5	5.	20.	3.7695e-004
833	15.	2.5	20.	2.3961e-003
834	7.5	5.	20.	1.5195e-003
835	10.	5.	17.5	2.5105e-003
836	10.	7.5	20.	1.1634e-003
837	10.	2.5	20.	4.2919e-003
838	5.	5.	17.5	8.6138e-004
839	5.	7.5	20.	4.7408e-004
840	2.5	5.	20.	3.7698e-004
841	5.	2.5	20.	2.3961e-003
842	12.5	5.	15.	1.8524e-003
843	15.	5.	12.5	1.7149e-003
844	15.	7.5	15.	5.1852e-004
845	17.5	5.	15.	1.2207e-004
846	15.	2.5	15.	4.4412e-003
847	7.5	5.	15.	1.8524e-003
848	10.	5.	12.5	3.426e-003
849	10.	7.5	15.	1.7252e-003
850	10.	2.5	15.	7.5655e-003
851	5.	5.	12.5	1.7149e-003
852	5.	7.5	15.	5.1851e-004
853	2.5	5.	15.	1.2204e-004
854	5.	2.5	15.	4.4413e-003
855	12.5	5.	10.	3.2885e-003
856	15.	5.	7.5	6.6357e-003
857	15.	7.5	10.	2.0498e-003
858	17.5	5.	10.	2.4537e-003
859	15.	2.5	10.	1.8519e-003
860	7.5	5.	10.	3.2885e-003
861	10.	5.	7.5	1.6903e-002
862	10.	7.5	10.	3.2394e-003
863	10.	2.5	10.	-3.1725e-003
864	5.	5.	7.5	6.6357e-003
865	5.	7.5	10.	2.0497e-003
866	2.5	5.	10.	2.4536e-003
867	5.	2.5	10.	1.8519e-003
868	12.5	5.	5.	2.025e-002
869	15.	7.5	5.	8.9075e-003
870	17.5	5.	5.	3.991e-003
871	15.	2.5	5.	-6.4926e-002
872	15.	5.	2.5	0.15057
873	7.5	5.	5.	2.025e-002
874	10.	7.5	5.	2.4284e-002
875	10.	2.5	5.	-8.1591e-002
876	10.	5.	2.5	0.22633
877	5.	7.5	5.	8.9075e-003
878	2.5	5.	5.	3.991e-003
879	5.	2.5	5.	-6.4926e-002
880	5.	5.	2.5	0.15057
881	12.5	10.	95.	-0.53036
882	15.	10.	92.5	-0.1974
883	15.	12.5	95.	3.1665e-008
884	17.5	10.	95.	-1.5854e-003
885	15.	10.	97.5	-0.93065
886	7.5	10.	95.	-0.53036
887	10.	10.	92.5	-0.32796
888	10.	12.5	95.	2.4214e-008
889	10.	10.	97.5	-1.2028
890	5.	10.	92.5	-0.1974
891	5.	12.5	95.	5.0291e-008
892	2.5	10.	95.	-1.5854e-003
893	5.	10.	97.5	-0.93065
894	12.5	10.	90.	5.0017e-003
895	15.	10.	87.5	1.7679e-002
896	15.	12.5	90.	4.2724e-008
897	17.5	10.	90.	1.2694e-002
898	7.5	10.	90.	5.0017e-003
899	10.	10.	87.5	-1.148e-002
900	10.	12.5	90.	3.7922e-008
901	5.	10.	87.5	1.768e-002
902	5.	12.5	90.	-2.6776e-009
903	2.5	10.	90.	1.2694e-002
904	12.5	10.	85.	1.1979e-003
905	15.	10.	82.5	5.0507e-003
906	15.	12.5	85.	-4.3703e-008
907	17.5	10.	85.	8.5178e-003
908	7.5	10.	85.	1.198e-003
909	10.	10.	82.5	9.2555e-003
910	10.	12.5	85.	1.0685e-008
911	5.	10.	82.5	5.0508e-003
912	5.	12.5	85.	3.0886e-008
913	2.5	10.	85.	8.5178e-003
914	12.5	10.	80.	1.3108e-002
915	15.	10.	77.5	6.7254e-003
916	15.	12.5	80.	-4.4092e-008
917	17.5	10.	80.	2.5363e-003
918	7.5	10.	80.	1.3108e-002
919	10.	10.	77.5	1.1086e-002
920	10.	12.5	80.	-2.7416e-008
921	5.	10.	77.5	6.7254e-003
922	5.	12.5	80.	6.9413e-009
923	2.5	10.	80.	2.5363e-003
924	12.5	10.	75.	4.7033e-003
925	15.	10.	72.5	2.0747e-003
926	15.	12.5	75.	-1.9943e-008
927	17.5	10.	75.	1.9235e-003
928	7.5	10.	75.	4.7033e-003
929	10.	10.	72.5	4.262e-003
930	10.	12.5	75.	1.528e-008
931	5.	10.	72.5	2.0748e-003
932	5.	12.5	75.	-1.8113e-008
933	2.5	10.	75.	1.9235e-003
934	12.5	10.	70.	1.6335e-003
935	15.	10.	67.5	7.1175e-004
936	15.	12.5	70.	2.0462e-008
937	17.5	10.	70.	3.4288e-004
938	7.5	10.	70.	1.6335e-003
939	10.	10.	67.5	1.3675e-003
940	10.	12.5	70.	-8.28e-009
941	5.	10.	67.5	7.1181e-004
942	5.	12.5	70.	1.5785e-008
943	2.5	10.	70.	3.4291e-004
944	12.5	10.	65.	4.4573e-004
945	15.	10.	62.5	1.5693e-004
946	15.	12.5	65.	1.7898e-008
947	17.5	10.	65.	1.3755e-004
948	7.5	10.	65.	4.4576e-004
949	10.	10.	62.5	3.6763e-004
950	10.	12.5	65.	1.8617e-008
951	5.	10.	62.5	1.5697e-004
952	5.	12.5	65.	2.6107e-008
953	2.5	10.	65.	1.3757e-004
954	12.5	10.	60.	7.8832e-005
955	15.	10.	57.5	2.6624e-005
956	15.	12.5	60.	-4.7431e-008
957	17.5	10.	60.	1.3819e-005
958	7.5	10.	60.	7.8846e-005
959	10.	10.	57.5	5.8468e-005
960	10.	12.5	60.	2.3972e-008
961	5.	10.	57.5	2.6647e-005
962	5.	12.5	60.	-1.9368e-008
963	2.5	10.	60.	1.3871e-005
964	12.5	10.	55.	6.2595e-006
965	15.	10.	52.5	-2.2831e-006
966	15.	12.5	55.	-1.231e-008
967	17.5	10.	55.	1.433e-008
968	7.5	10.	55.	6.2679e-006
969	10.	10.	52.5	2.0535e-006
970	10.	12.5	55.	-4.6844e-008
971	5.	10.	52.5	-2.2957e-006
972	5.	12.5	55.	8.087e-009
973	2.5	10.	55.	-3.4373e-009
974	12.5	10.	50.	-6.4892e-006
975	15.	10.	47.5	-4.3723e-006
976	15.	12.5	50.	2.0712e-008
977	17.5	10.	50.	-2.0778e-006
978	7.5	10.	50.	-6.5102e-006
979	10.	10.	47.5	-8.1718e-006
980	10.	12.5	50.	-2.143e-008
981	5.	10.	47.5	-4.4031e-006
982	5.	12.5	50.	-1.332e-008
983	2.5	10.	50.	-2.1378e-006
984	12.5	10.	45.	-6.0549e-006
985	15.	10.	42.5	-5.0359e-006
986	15.	12.5	45.	2.9454e-008
987	17.5	10.	45.	-1.728e-006
988	7.5	10.	45.	-6.0646e-006
989	10.	10.	42.5	-9.0811e-006
990	10.	12.5	45.	2.8436e-008
991	5.	10.	42.5	-5.025e-006
992	5.	12.5	45.	-2.3128e-008
993	2.5	10.	45.	-1.7338e-006
994	12.5	10.	40.	-8.0621e-006
995	15.	10.	37.5	-6.9091e-006
996	15.	12.5	40.	-7.6901e-010
997	17.5	10.	40.	-3.1971e-006
998	7.5	10.	40.	-8.0414e-006
999	10.	10.	37.5	-8.0962e-006
1000	10.	12.5	40.	-1.0839e-008
1001	5.	10.	37.5	-6.8928e-006
1002	5.	12.5	40.	2.4855e-008
1003	2.5	10.	40.	-3.2231e-006
1004	12.5	10.	35.	-6.9432e-006
1005	15.	10.	32.5	-6.6341e-006
1006	15.	12.5	35.	-3.9938e-008
1007	17.5	10.	35.	-3.7994e-006
1008	7.5	10.	35.	-6.9475e-006
1009	10.	10.	32.5	-9.7171e-007
1010	10.	12.5	35.	4.6193e-008
1011	5.	10.	32.5	-6.6515e-006
1012	5.	12.5	35.	-1.8748e-008
1013	2.5	10.	35.	-3.7347e-006
1014	12.5	10.	30.	-6.6268e-007
1015	15.	10.	27.5	6.5144e-006
1016	15.	12.5	30.	1.2948e-010
1017	17.5	10.	30.	-1.9383e-005
1018	7.5	10.	30.	-6.7562e-007
1019	10.	10.	27.5	6.6895e-005
1020	10.	12.5	30.	-1.1747e-008
1021	5.	10.	27.5	6.4659e-006
1022	5.	12.5	30.	-1.2765e-008
1023	2.5	10.	30.	-1.945e-005
1024	12.5	10.	25.	7.4072e-005
1025	15.	10.	22.5	4.1842e-005
1026	15.	12.5	25.	5.8786e-008
1027	17.5	10.	25.	-6.3169e-006
1028	7.5	10.	25.	7.4036e-005
1029	10.	10.	22.5	1.5014e-004
1030	10.	12.5	25.	-4.2858e-008
1031	5.	10.	22.5	4.1794e-005
1032	5.	12.5	25.	-2.6374e-008
1033	2.5	10.	25.	-6.3522e-006
1034	12.5	10.	20.	1.1791e-004
1035	15.	10.	17.5	1.3121e-004
1036	15.	12.5	20.	-3.4643e-009
1037	17.5	10.	20.	-1.1961e-004
1038	7.5	10.	20.	1.179e-004
1039	10.	10.	17.5	3.7806e-004
1040	10.	12.5	20.	2.6961e-008
1041	5.	10.	17.5	1.312e-004
1042	5.	12.5	20.	-3.6809e-008
1043	2.5	10.	20.	-1.1964e-004
1044	12.5	10.	15.	3.9135e-004
1045	15.	10.	12.5	8.5337e-004
1046	15.	12.5	15.	2.2555e-008
1047	17.5	10.	15.	2.538e-004
1048	7.5	10.	15.	3.9135e-004
1049	10.	10.	12.5	1.5387e-003
1050	10.	12.5	15.	1.3517e-009
1051	5.	10.	12.5	8.5336e-004
1052	5.	12.5	15.	4.3252e-008
1053	2.5	10.	15.	2.5377e-004
1054	12.5	10.	10.	2.0007e-003
1055	15.	10.	7.5	4.3216e-003
1056	15.	12.5	10.	4.1921e-008
1057	17.5	10.	10.	9.6679e-004
1058	7.5	10.	10.	2.0007e-003
1059	10.	10.	7.5	1.0621e-002
1060	10.	12.5	10.	1.8023e-008
1061	5.	10.	7.5	4.3216e-003
1062	5.	12.5	10.	1.6222e-008
1063	2.5	10.	10.	9.6682e-004
1064	12.5	10.	5.	1.2942e-002
1065	15.	12.5	5.	-1.477e-008
1066	17.5	10.	5.	1.4363e-003
1067	15.	10.	2.5	3.4792e-002
1068	7.5	10.	5.	1.2942e-002
1069	10.	12.5	5.	-2.9977e-008
1070	10.	10.	2.5	6.7624e-002
1071	5.	12.5	5.	-3.1825e-008
1072	2.5	10.	5.	1.4363e-003
1073	5.	10.	2.5	3.4792e-002
1074	12.5	15.	95.	0.53036
1075	15.	15.	92.5	0.1974
1076	15.	17.5	95.	0.93689
1077	17.5	15.	95.	1.5855e-003
1078	15.	15.	97.5	0.93065
1079	7.5	15.	95.	0.53036
1080	10.	15.	92.5	0.32796
1081	10.	17.5	95.	1.3166
1082	10.	15.	97.5	1.2028
1083	5.	15.	92.5	0.1974
1084	5.	17.5	95.	0.93689
1085	2.5	15.	95.	1.5854e-003
1086	5.	15.	97.5	0.93065
1087	12.5	15.	90.	-5.0016e-003
1088	15.	15.	87.5	-1.7679e-002
1089	15.	17.5	90.	-1.5139e-002
1090	17.5	15.	90.	-1.2694e-002
1091	7.5	15.	90.	-5.0016e-003
1092	10.	15.	87.5	1.148e-002
1093	10.	17.5	90.	9.7754e-002
1094	5.	15.	87.5	-1.7679e-002
1095	5.	17.5	90.	-1.5139e-002
1096	2.5	15.	90.	-1.2694e-002
1097	12.5	15.	85.	-1.198e-003
1098	15.	15.	82.5	-5.0508e-003
1099	15.	17.5	85.	7.7077e-004
1100	17.5	15.	85.	-8.5179e-003
1101	7.5	15.	85.	-1.1979e-003
1102	10.	15.	82.5	-9.2555e-003
1103	10.	17.5	85.	-4.3478e-004
1104	5.	15.	82.5	-5.0507e-003
1105	5.	17.5	85.	7.7078e-004
1106	2.5	15.	85.	-8.5178e-003
1107	12.5	15.	80.	-1.3108e-002
1108	15.	15.	77.5	-6.7255e-003
1109	15.	17.5	80.	-1.627e-002
1110	17.5	15.	80.	-2.5364e-003
1111	7.5	15.	80.	-1.3108e-002
1112	10.	15.	77.5	-1.1086e-002
1113	10.	17.5	80.	-2.6077e-002
1114	5.	15.	77.5	-6.7254e-003
1115	5.	17.5	80.	-1.6269e-002
1116	2.5	15.	80.	-2.5363e-003
1117	12.5	15.	75.	-4.7033e-003
1118	15.	15.	72.5	-2.0747e-003
1119	15.	17.5	75.	-5.0624e-003
1120	17.5	15.	75.	-1.9235e-003
1121	7.5	15.	75.	-4.7033e-003
1122	10.	15.	72.5	-4.262e-003
1123	10.	17.5	75.	-1.0665e-002
1124	5.	15.	72.5	-2.0748e-003
1125	5.	17.5	75.	-5.0623e-003
1126	2.5	15.	75.	-1.9235e-003
1127	12.5	15.	70.	-1.6335e-003
1128	15.	15.	67.5	-7.1171e-004
1129	15.	17.5	70.	-1.9964e-003
1130	17.5	15.	70.	-3.4284e-004
1131	7.5	15.	70.	-1.6335e-003
1132	10.	15.	67.5	-1.3675e-003
1133	10.	17.5	70.	-3.8208e-003
1134	5.	15.	67.5	-7.1177e-004
1135	5.	17.5	70.	-1.9964e-003
1136	2.5	15.	70.	-3.4286e-004
1137	12.5	15.	65.	-4.457e-004
1138	15.	15.	62.5	-1.5696e-004
1139	15.	17.5	65.	-4.7342e-004
1140	17.5	15.	65.	-1.3752e-004
1141	7.5	15.	65.	-4.4571e-004
1142	10.	15.	62.5	-3.6759e-004
1143	10.	17.5	65.	-1.0844e-003
1144	5.	15.	62.5	-1.5697e-004
1145	5.	17.5	65.	-4.7348e-004
1146	2.5	15.	65.	-1.3754e-004
1147	12.5	15.	60.	-7.8856e-005
1148	15.	15.	57.5	-2.6684e-005
1149	15.	17.5	60.	-9.7603e-005
1150	17.5	15.	60.	-1.384e-005
1151	7.5	15.	60.	-7.8842e-005
1152	10.	15.	57.5	-5.8491e-005
1153	10.	17.5	60.	-2.0523e-004
1154	5.	15.	57.5	-2.6658e-005
1155	5.	17.5	60.	-9.7583e-005
1156	2.5	15.	60.	-1.3848e-005
1157	12.5	15.	55.	-6.3187e-006
1158	15.	15.	52.5	2.2915e-006
1159	15.	17.5	55.	-2.679e-006
1160	17.5	15.	55.	-4.4949e-008
1161	7.5	15.	55.	-6.3067e-006
1162	10.	15.	52.5	-2.1217e-006
1163	10.	17.5	55.	-2.0309e-005
1164	5.	15.	52.5	2.2905e-006
1165	5.	17.5	55.	-2.7241e-006
1166	2.5	15.	55.	-6.1241e-008
1167	12.5	15.	50.	6.4885e-006
1168	15.	15.	47.5	4.4224e-006
1169	15.	17.5	50.	7.7319e-006
1170	17.5	15.	50.	2.0877e-006
1171	7.5	15.	50.	6.4754e-006
1172	10.	15.	47.5	8.1788e-006
1173	10.	17.5	50.	1.4585e-005
1174	5.	15.	47.5	4.3666e-006
1175	5.	17.5	50.	7.7058e-006
1176	2.5	15.	50.	2.0649e-006
1177	12.5	15.	45.	6.1128e-006
1178	15.	15.	42.5	5.0646e-006
1179	15.	17.5	45.	7.4576e-006
1180	17.5	15.	45.	1.7719e-006
1181	7.5	15.	45.	6.0699e-006
1182	10.	15.	42.5	9.0987e-006
1183	10.	17.5	45.	1.4197e-005
1184	5.	15.	42.5	5.0267e-006
1185	5.	17.5	45.	7.4459e-006
1186	2.5	15.	45.	1.741e-006
1187	12.5	15.	40.	8.0505e-006
1188	15.	15.	37.5	6.8684e-006
1189	15.	17.5	40.	8.6364e-006
1190	17.5	15.	40.	3.2202e-006
1191	7.5	15.	40.	8.0555e-006
1192	10.	15.	37.5	8.1316e-006
1193	10.	17.5	40.	1.4962e-005
1194	5.	15.	37.5	6.8989e-006
1195	5.	17.5	40.	8.593e-006
1196	2.5	15.	40.	3.2002e-006
1197	12.5	15.	35.	6.9494e-006
1198	15.	15.	32.5	6.5943e-006
1199	15.	17.5	35.	2.5077e-006
1200	17.5	15.	35.	3.7405e-006
1201	7.5	15.	35.	6.975e-006
1202	10.	15.	32.5	1.0062e-006
1203	10.	17.5	35.	-8.9392e-007
1204	5.	15.	32.5	6.62e-006
1205	5.	17.5	35.	2.5298e-006
1206	2.5	15.	35.	3.7567e-006
1207	12.5	15.	30.	6.5106e-007
1208	15.	15.	27.5	-6.4555e-006
1209	15.	17.5	30.	-2.9698e-005
1210	17.5	15.	30.	1.9419e-005
1211	7.5	15.	30.	6.5111e-007
1212	10.	15.	27.5	-6.6949e-005
1213	10.	17.5	30.	-9.3011e-005
1214	5.	15.	27.5	-6.5051e-006
1215	5.	17.5	30.	-2.9703e-005
1216	2.5	15.	30.	1.9387e-005
1217	12.5	15.	25.	-7.4056e-005
1218	15.	15.	22.5	-4.1787e-005
1219	15.	17.5	25.	-1.8274e-004
1220	17.5	15.	25.	6.3714e-006
1221	7.5	15.	25.	-7.4105e-005
1222	10.	15.	22.5	-1.5016e-004
1223	10.	17.5	25.	-4.3898e-004
1224	5.	15.	22.5	-4.1857e-005
1225	5.	17.5	25.	-1.8279e-004
1226	2.5	15.	25.	6.3664e-006
1227	12.5	15.	20.	-1.1789e-004
1228	15.	15.	17.5	-1.3119e-004
1229	15.	17.5	20.	-4.7411e-004
1230	17.5	15.	20.	1.1965e-004
1231	7.5	15.	20.	-1.1791e-004
1232	10.	15.	17.5	-3.7803e-004
1233	10.	17.5	20.	-1.1633e-003
1234	5.	15.	17.5	-1.3119e-004
1235	5.	17.5	20.	-4.7409e-004
1236	2.5	15.	20.	1.1967e-004
1237	12.5	15.	15.	-3.9132e-004
1238	15.	15.	12.5	-8.5331e-004
1239	15.	17.5	15.	-5.1849e-004
1240	17.5	15.	15.	-2.5381e-004
1241	7.5	15.	15.	-3.9131e-004
1242	10.	15.	12.5	-1.5386e-003
1243	10.	17.5	15.	-1.7252e-003
1244	5.	15.	12.5	-8.533e-004
1245	5.	17.5	15.	-5.185e-004
1246	2.5	15.	15.	-2.5382e-004
1247	12.5	15.	10.	-2.0006e-003
1248	15.	15.	7.5	-4.3216e-003
1249	15.	17.5	10.	-2.0497e-003
1250	17.5	15.	10.	-9.6676e-004
1251	7.5	15.	10.	-2.0006e-003
1252	10.	15.	7.5	-1.0621e-002
1253	10.	17.5	10.	-3.2394e-003
1254	5.	15.	7.5	-4.3216e-003
1255	5.	17.5	10.	-2.0497e-003
1256	2.5	15.	10.	-9.668e-004
1257	12.5	15.	5.	-1.2942e-002
1258	15.	17.5	5.	-8.9075e-003
1259	17.5	15.	5.	-1.4363e-003
1260	15.	15.	2.5	-3.4792e-002
1261	7.5	15.	5.	-1.2942e-002
1262	10.	17.5	5.	-2.4284e-002
1263	10.	15.	2.5	-6.7624e-002
1264	5.	17.5	5.	-8.9076e-003
1265	2.5	15.	5.	-1.4363e-003
1266	5.	15.	2.5	-3.4792e-002
1267	12.5	20.	95.	1.7231
1268	15.	20.	92.5	0.72436
1269	17.5	20.	95.	0.12154
1270	15.	22.5	95.	1.1761
1271	15.	20.	97.5	2.5416
1272	7.5	20.	95.	1.7231
1273	10.	20.	92.5	1.0864
1274	10.	22.5	95.	1.8326
1275	10.	20.	97.5	3.2581
1276	5.	20.	92.5	0.72436
1277	2.5	20.	95.	0.12154
1278	5.	22.5	95.	1.1761
1279	5.	20.	97.5	2.5416
1280	12.5	20.	90.	8.7616e-002
1281	15.	20.	87.5	3.3111e-003
1282	17.5	20.	90.	4.8629e-002
1283	15.	22.5	90.	5.8404e-002
1284	7.5	20.	90.	8.7616e-002
1285	10.	20.	87.5	8.5839e-002
1286	10.	22.5	90.	0.27562
1287	5.	20.	87.5	3.3111e-003
1288	2.5	20.	90.	4.8629e-002
1289	5.	22.5	90.	5.8404e-002
1290	12.5	20.	85.	1.5339e-003
1291	15.	20.	82.5	-1.0448e-002
1292	17.5	20.	85.	-2.622e-002
1293	15.	22.5	85.	-5.7838e-003
1294	7.5	20.	85.	1.5339e-003
1295	10.	20.	82.5	-1.7256e-002
1296	10.	22.5	85.	4.9628e-003
1297	5.	20.	82.5	-1.0448e-002
1298	2.5	20.	85.	-2.622e-002
1299	5.	22.5	85.	-5.7839e-003
1300	12.5	20.	80.	-2.9238e-002
1301	15.	20.	77.5	-1.4606e-002
1302	17.5	20.	80.	-3.5355e-003
1303	15.	22.5	80.	-1.921e-002
1304	7.5	20.	80.	-2.9238e-002
1305	10.	20.	77.5	-2.5656e-002
1306	10.	22.5	80.	-2.9925e-002
1307	5.	20.	77.5	-1.4606e-002
1308	2.5	20.	80.	-3.5355e-003
1309	5.	22.5	80.	-1.921e-002
1310	12.5	20.	75.	-1.1024e-002
1311	15.	20.	72.5	-4.984e-003
1312	17.5	20.	75.	-4.381e-003
1313	15.	22.5	75.	-8.2515e-003
1314	7.5	20.	75.	-1.1024e-002
1315	10.	20.	72.5	-1.0224e-002
1316	10.	22.5	75.	-1.6662e-002
1317	5.	20.	72.5	-4.9839e-003
1318	2.5	20.	75.	-4.381e-003
1319	5.	22.5	75.	-8.2515e-003
1320	12.5	20.	70.	-4.1837e-003
1321	15.	20.	67.5	-1.7581e-003
1322	17.5	20.	70.	-8.9587e-004
1323	15.	22.5	70.	-3.1086e-003
1324	7.5	20.	70.	-4.1836e-003
1325	10.	20.	67.5	-3.5377e-003
1326	10.	22.5	70.	-5.8261e-003
1327	5.	20.	67.5	-1.7581e-003
1328	2.5	20.	70.	-8.9581e-004
1329	5.	22.5	70.	-3.1085e-003
1330	12.5	20.	65.	-1.1121e-003
1331	15.	20.	62.5	-4.1406e-004
1332	17.5	20.	65.	-3.1425e-004
1333	15.	22.5	65.	-8.1561e-004
1334	7.5	20.	65.	-1.1121e-003
1335	10.	20.	62.5	-9.22e-004
1336	10.	22.5	65.	-1.8551e-003
1337	5.	20.	62.5	-4.1409e-004
1338	2.5	20.	65.	-3.1435e-004
1339	5.	22.5	65.	-8.1564e-004
1340	12.5	20.	60.	-2.2398e-004
1341	15.	20.	57.5	-7.3598e-005
1342	17.5	20.	60.	-5.2468e-005
1343	15.	22.5	60.	-1.6606e-004
1344	7.5	20.	60.	-2.2398e-004
1345	10.	20.	57.5	-1.6705e-004
1346	10.	22.5	60.	-3.4761e-004
1347	5.	20.	57.5	-7.3649e-005
1348	2.5	20.	60.	-5.2508e-005
1349	5.	22.5	60.	-1.6615e-004
1350	12.5	20.	55.	-1.6669e-005
1351	15.	20.	52.5	2.7614e-006
1352	17.5	20.	55.	7.6972e-007
1353	15.	22.5	55.	-7.4096e-006
1354	7.5	20.	55.	-1.6727e-005
1355	10.	20.	52.5	-3.6028e-006
1356	10.	22.5	55.	-4.4194e-005
1357	5.	20.	52.5	2.6913e-006
1358	2.5	20.	55.	7.8042e-007
1359	5.	22.5	55.	-7.3821e-006
1360	12.5	20.	50.	1.5828e-005
1361	15.	20.	47.5	1.0767e-005
1362	17.5	20.	50.	3.9305e-006
1363	15.	22.5	50.	1.391e-005
1364	7.5	20.	50.	1.5815e-005
1365	10.	20.	47.5	2.0603e-005
1366	10.	22.5	50.	2.4346e-005
1367	5.	20.	47.5	1.0785e-005
1368	2.5	20.	50.	3.9548e-006
1369	5.	22.5	50.	1.3898e-005
1370	12.5	20.	45.	1.5542e-005
1371	15.	20.	42.5	1.1029e-005
1372	17.5	20.	45.	4.8773e-006
1373	15.	22.5	45.	1.2835e-005
1374	7.5	20.	45.	1.5573e-005
1375	10.	20.	42.5	2.0061e-005
1376	10.	22.5	45.	2.2633e-005
1377	5.	20.	42.5	1.1012e-005
1378	2.5	20.	45.	4.896e-006
1379	5.	22.5	45.	1.2859e-005
1380	12.5	20.	40.	1.5548e-005
1381	15.	20.	37.5	4.2757e-006
1382	17.5	20.	40.	4.5037e-006
1383	15.	22.5	40.	1.1509e-005
1384	7.5	20.	40.	1.55e-005
