Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
165	5.	15.	15.	-1.9664e-004
166	15.	15.	10.	-1.5099e-003
167	10.	15.	10.	-2.4913e-003
168	5.	15.	10.	-1.51e-003
169	15.	15.	5.	-7.1332e-003
170	10.	15.	5.	-1.875e-002
171	5.	15.	5.	-7.1332e-003
172	15.	20.	95.	1.4433
173	10.	20.	95.	2.003
174	5.	20.	95.	1.4433
175	15.	20.	90.	5.4438e-003
176	10.	20.	90.	0.16979
177	5.	20.	90.	5.4438e-003
178	15.	20.	85.	1.1784e-003
179	10.	20.	85.	1.8895e-003
180	5.	20.	85.	1.1784e-003
181	15.	20.	80.	-2.2074e-002
182	10.	20.	80.	-3.6402e-002
183	5.	20.	80.	-2.2074e-002
184	15.	20.	75.	-7.1385e-003
185	10.	20.	75.	-1.491e-002
186	5.	20.	75.	-7.1384e-003
187	15.	20.	70.	-2.8295e-003
188	10.	20.	70.	-5.5378e-003
189	5.	20.	70.	-2.8294e-003
190	15.	20.	65.	-6.8664e-004
191	10.	20.	65.	-1.5375e-003
192	5.	20.	65.	-6.8671e-004
193	15.	20.	60.	-1.4148e-004
194	10.	20.	60.	-3.0648e-004
195	5.	20.	60.	-1.4147e-004
196	15.	20.	55.	-5.7166e-006
197	10.	20.	55.	-2.7622e-005
198	5.	20.	55.	-5.8307e-006
199	15.	20.	50.	1.1239e-005
200	10.	20.	50.	2.0417e-005
201	5.	20.	50.	1.1213e-005
202	15.	20.	45.	1.0295e-005
203	10.	20.	45.	2.0789e-005
204	5.	20.	45.	1.0357e-005
205	15.	20.	40.	1.1764e-005
206	10.	20.	40.	1.9332e-005
207	5.	20.	40.	1.1667e-005
208	15.	20.	35.	-3.2126e-006
209	10.	20.	35.	-7.4586e-006
210	5.	20.	35.	-3.2195e-006
211	15.	20.	30.	-6.4356e-005
212	10.	20.	30.	-1.8236e-004
213	5.	20.	30.	-6.4368e-005
214	15.	20.	25.	-3.4761e-004
215	10.	20.	25.	-7.4772e-004
216	5.	20.	25.	-3.476e-004
217	15.	20.	20.	-8.8252e-004
218	10.	20.	20.	-2.1565e-003
219	5.	20.	20.	-8.8244e-004
220	15.	20.	15.	-8.4031e-004
221	10.	20.	15.	-2.8644e-003
222	5.	20.	15.	-8.4036e-004
223	15.	20.	10.	-2.5895e-003
224	10.	20.	10.	-3.9875e-003
225	5.	20.	10.	-2.5895e-003
226	15.	20.	5.	-1.0682e-002
227	10.	20.	5.	-2.9819e-002
228	5.	20.	5.	-1.0682e-002
229	20.	20.	5.	2.7e-003
230	20.	20.	10.	-2.3179e-003
231	20.	20.	15.	5.9625e-004
232	20.	20.	20.	1.2857e-004
233	20.	20.	25.	1.1467e-004
234	20.	20.	30.	1.1652e-005
235	20.	20.	35.	5.0784e-006
236	20.	20.	40.	-2.7565e-006
237	20.	20.	45.	-5.4011e-007
238	20.	20.	50.	-3.3784e-006
239	20.	20.	55.	7.256e-006
240	20.	20.	60.	3.6545e-005
241	20.	20.	65.	5.8136e-005
242	20.	20.	70.	1.0378e-003
243	20.	20.	75.	-1.6235e-003
244	20.	20.	80.	1.5003e-002
245	20.	20.	85.	-5.3619e-002
